id,name,gender,birth_month,registration_fee
20,JUNE ,F,Apr-2010,302.0
21,SARAH,F,Dec-2012,109.0
22,ELIZABETH,F,Mar-2013,106.0
23,LUCY ,F,Mar-2014,306.0
24,DOTTIE,F,Apr-2013,107.0
25,RICKY,M,Jul-2014,307.0
26,BIGS,M,Dec-2004,305.0
27,BESS ,F,Sep-2010,312.0
28,BENSON,M,Jul-2010,310.0
29,MASSIMO,M,Jul-2009,302.0
30,HEIDI-BO,F,Sep-2007,306.0
31,MAX,M,Oct-2005,107.0
32,RANGER,M,Aug-2007,315.0
33,ELAINE,F,Apr-2005,208.0
34,TIBERIUS,M,Aug-2006,108.0
35,SANDEE,F,Jun-2009,411.0
36,SAMMY,M,Apr-2007,306.0
38,JOEY,F,Mar-2010,107.0
39,SHERRIE,M,Jun-2008,313.0
40,NINA,F,Nov-2010,210.0
41,LILAH,F,Feb-2008,310.0
42,DEDE,M,Feb-2013,318.0
43,COOBY,M,Jun-2013,103.0
44,ROSIE,F,Mar-2010,108.0
45,NAHLA,F,May-2011,107.0
46,ROCKY ,M,Sep-2012,204.0
47,BAILEY ,M,Jan-2005,108.0
48,BUCKLEY,F,Jan-2006,106.0
49,DEXTER,M,Nov-2010,306.0
50,ZOEY,F,Apr-2011,306.0
51,ANGEL,M,Nov-2000,211.0
52,LOUIE,M,May-2008,107.0
53,PEPI ,M,Jan-2004,207.0
54,PAOLA,F,Jun-2013,101.0
55,JUNO,F,Oct-2010,209.0
56,JOSH,F,Jan-2010,405.0
57,COCO ,F,Aug-2009,503.0
58,CHLOE,F,Nov-2005,111.0
59,CHEWY,M,Dec-2012,313.0
60,MIA ,F,Mar-2013,409.0
61,PIRULO,M,Jan-2008,101.0
62,LUNA,F,Dec-2009,306.0
63,BAXTER,M,Aug-2013,406.0
64,DUKE,M,Nov-2012,102.0
65,TWIGGY ,F,Jan-2004,111.0
66,TRUMAN ,M,Jan-2007,402.0
67,ROCCO,M,May-2010,102.0
68,MAX,M,Jan-2008,111.0
69,BLUE,M,Apr-2008,112.0
70,TOSHA,F,Dec-2011,107.0
71,TY ,M,Sep-2010,318.0
72,BELLA,F,Jan-2005,109.0
73,LUCY,F,Apr-2011,104.0
74,TEDDY,M,Jan-2008,108.0
75,TIGGER,M,Jun-2012,101.0
76,CHARLIE,M,May-2007,408.0
77,SANDY,F,Jul-2011,102.0
78,SABRINA,F,Dec-2002,401.0
79,JUPLAY,M,Feb-2002,401.0
80,A.J. ,M,Jan-2005,503.0
